序号,兑换码,批次号,批次备注,生成时间,使用状态
1,TEST-4ER7,B72714344,测试专用,2026-03-05 20:39:04,未使用
2,TEST-8363,B72714344,测试专用,2026-03-05 20:39:04,未使用
3,TEST-837Q,B72714344,测试专用,2026-03-05 20:39:04,未使用
4,TEST-B2RY,B72714344,测试专用,2026-03-05 20:39:04,未使用
5,TEST-H9QU,B72714344,测试专用,2026-03-05 20:39:04,未使用
6,TEST-K9YQ,B72714344,测试专用,2026-03-05 20:39:04,未使用
7,TEST-PUSD,B72714344,测试专用,2026-03-05 20:39:04,未使用
8,TEST-R9KK,B72714344,测试专用,2026-03-05 20:39:04,未使用
9,TEST-VAQD,B72714344,测试专用,2026-03-05 20:39:04,未使用
10,TEST-Y6C9,B72714344,测试专用,2026-03-05 20:39:04,未使用
